state,category,year,crimes
Johor,assault,2023,1228
Kedah,assault,2023,720
Kelantan,assault,2023,390
Melaka,assault,2023,310
Negeri Sembilan,assault,2023,417
Pahang,assault,2023,409
Perak,assault,2023,852
Perlis,assault,2023,75
Pulau Pinang,assault,2023,820
Sabah,assault,2023,534
Sarawak,assault,2023,558
Selangor,assault,2023,2953
Terengganu,assault,2023,247
W.P. Kuala Lumpur,assault,2023,940
